,name,flux,normalisedFlux,normalisedFlux*1000
PDHm,R_PDHm Pyruvate + CoA + NAD+ --> Acetyl-CoA + CO2 + NADH + H+,0.0,0.0,0.0
CSm,R_CSm Acetyl-CoA + H2O + Oxaloacetate --> Citrate + CoA,0.0,0.0,0.0
ACONTm,R_ACONTm Citrate -> Isocitrate,-6.806930137368878,-0.006045989804170763,-6.0459898041707625
ICDHyrm,R_ICDHyrm Isocitrate + NADP(+) -> 2-oxoglutarate + CO(2) + NADPH,-17.065817985561765,-0.015158046205601738,-15.158046205601739
AKGDm,R_AKGDm 2-Oxoglutarate + CoA + NAD+ --> Succinyl-CoA + CO2 + NADH + H+,32.614638851047665,0.02896867897580126,28.96867897580126
SUCOASm,R_SUCOASm ATP + Succinate + CoA --> ADP + Orthophosphate + Succinyl-CoA,-32.614638851047665,-0.02896867897580126,-28.96867897580126
FUMm,R_FUMm Fumarate + H2O --> (S)-Malate,1.3317610691149226,0.0011828847487735036,1.1828847487735037
MDHm,R_MDHm (S)-Malate + NAD+ --> Oxaloacetate + NADH + H+,-0.043104570790726326,-3.828595126651663e-05,-0.038285951266516634
CI_mitoMap,R_CI_mitoMap NADH dehydrogenase,7.8270716460824525,0.006952090650811405,6.952090650811405
CII_mitoMap,R_CII_mitoMap succinate dehydrogenase,-4.9402184503727185,-0.004387956065151417,-4.387956065151418
CIII_mitoMap,R_CIII_mitoMap cytochrome c reductase,11.853756967449762,0.010528636598292092,10.528636598292092
CIV_mitoMap,R_CIV_mitoMap cytochrome c oxidase,5.926878483724881,0.005264318299146046,5.264318299146046
CV_mitoMap,R_CV_mitoMap ATP synthase,10.248111705495205,0.009102484913614347,9.102484913614347
r0081,R_r0081 L-Alanine + 2-Oxoglutarate --> Pyruvate + L-Glutamate,-0.31969223336455416,-0.00028395413855999887,-0.28395413855999885
ACITLm_mitoMap,R_ACITLm_mitoMap ATP + Citrate + CoA --> ADP + Orthophosphate + Acetyl-CoA + Oxaloacetate,0.043104570790726326,3.828595126651663e-05,0.038285951266516634
AKGMALtm,R_AKGMALtm Malate - Oxoglutarate (OGC) Antiporter,-49.46134193508991,-0.04393210492913155,-43.93210492913155
ORNTArm,R_ORNTArm L-Ornithine + 2-Oxoglutarate --> L-Glutamate 5-semialdehyde + L-Glutamate,0.10057733184502828,8.933388628853896e-05,0.08933388628853896
CITtamB,R_CITtamB Citrate Carrier (CIC) - Citrate for Malate,-13.603084132040074,-0.012082408120524895,-12.082408120524894
r0913,R_r0913 Citrate Carrier (CIC) - Isocitrate for Malate,3.419629282730962,0.0030373521338103253,3.0373521338103253
r0917,R_r0917 Citrate Carrier (CIC) - Citrate for Isocitrate,3.419629282730962,0.0030373521338103253,3.0373521338103253
r0917b_mitoMap,R_r0917b_mitoMap Citrate Carrier (CIC) - Citrate for Isocitrate,3.419629282730962,0.0030373521338103253,3.0373521338103253
SUCCt2m,R_SUCCt2m Dicarboxylate carrier (DIC) - antiport succinate for phosphate,-7.510971460284076,-0.006671327008190535,-6.671327008190535
r0830,R_r0830 Dicarboxylate carrier (DIC) - antiport succinate for sulfite,-7.510971460284076,-0.006671327008190535,-6.671327008190535
r0830B_mitoMap,R_r0830B_mitoMap Dicarboxylate carrier (DIC) - antiport succinate for thiosulfate,-7.510971460284076,-0.006671327008190535,-6.671327008190535
r0829,R_r0829 Dicarboxylate carrier (DIC) - antiport succinate for sulfate,-7.510971460284076,-0.006671327008190535,-6.671327008190535
SUCCt3m_mitoMap,R_SUCCt3m_mitoMap Dicarboxylate carrier (DIC) - antiport succinate for malate,-7.510971460284076,-0.006671327008190535,-6.671327008190535
FUMtmB_mitoMap,R_FUMtmB_mitoMap Fumarate transport,6.271979519487641,0.005570840813924921,5.570840813924921
